timestamp_ms,forearm_L.angular_velocity,forearm_L.linear_acceleration,hand_L.angular_velocity,hand_L.linear_acceleration,head.angular_velocity,head.linear_acceleration,upper_torso.angular_velocity,upper_torso.linear_acceleration
618,3.3318708,0.10622936,0.9336583,0.19663619,1.4559155,0.32176974,2.5276217,0.08774726
618,3.3318708,0.10622936,0.8844834,0.1988676,1.4559155,0.32176974,2.5276217,0.08774726
634,3.3318708,0.10622936,0.925644,0.18263936,1.4559155,0.32176974,2.5276217,0.08774726
634,5.0732656,0.113714784,1.113787,0.16596404,1.6980501,0.33410057,2.5276217,0.08774726
636,6.896162,0.120347016,1.113787,0.16596404,1.6980501,0.33410057,2.5276217,0.08774726
636,6.896162,0.120347016,0.63135254,0.17231874,1.7144251,0.3017646,2.5276217,0.08774726
636,7.780486,0.111826494,0.63135254,0.17231874,1.7144251,0.3017646,2.5276217,0.08774726
637,7.780486,0.111826494,0.63135254,0.17231874,1.6848356,0.29341626,2.5276217,0.08774726
651,7.780486,0.111826494,0.63135254,0.17231874,1.6848356,0.29341626,2.5627496,0.13290668
662,7.780486,0.111826494,0.8027921,0.15567352,1.6848356,0.29341626,2.5844622,0.15678892
663,7.8766093,0.111135624,1.0393912,0.17418456,1.6848356,0.29341626,2.5844622,0.15678892
663,7.8766093,0.111135624,1.8563116,0.1765465,1.6848356,0.29341626,2.5844622,0.15678892
665,7.613753,0.124713674,1.8563116,0.1765465,1.6848356,0.29341626,2.5844622,0.15678892
681,7.3976016,0.04359751,1.8563116,0.1765465,1.5560973,0.2742358,2.5844622,0.15678892
682,7.3976016,0.04359751,1.8563116,0.1765465,1.7467146,0.27608874,2.5844622,0.15678892
684,7.3976016,0.04359751,1.8563116,0.1765465,1.7467146,0.27608874,2.473995,0.10275644
684,7.3976016,0.04359751,1.8563116,0.1765465,2.2983603,0.25463352,2.473242,0.07035324
685,7.3976016,0.04359751,1.8563116,0.1765465,2.2983603,0.25463352,2.5408516,0.08247472
700,6.156387,0.07705171,1.8563116,0.1765465,2.2983603,0.25463352,2.5408516,0.08247472
700,3.4141517,0.08905515,2.5120988,0.15586671,2.2983603,0.25463352,2.5408516,0.08247472
702,3.4141517,0.08905515,2.4314675,0.120451294,2.7996445,0.23951761,2.5408516,0.08247472
703,2.4972255,0.055037092,2.4314675,0.120451294,2.7996445,0.23951761,2.5408516,0.08247472
703,2.4972255,0.055037092,1.6309067,0.118245915,3.2273688,0.24538691,2.5408516,0.08247472
703,2.4972255,0.055037092,1.6309067,0.118245915,3.4704268,0.26300517,2.5408516,0.08247472
715,2.4972255,0.055037092,1.6309067,0.118245915,3.4704268,0.26300517,2.464188,0.08962589
716,2.4972255,0.055037092,1.6309067,0.118245915,3.4704268,0.26300517,2.4490237,0.120289266
729,2.4972255,0.055037092,1.6309067,0.118245915,3.496627,0.2586672,2.386623,0.1355684
730,2.4972255,0.05443367,1.2298243,0.17394668,3.496627,0.2586672,2.386623,0.1355684
730,2.4972255,0.05443367,1.2298243,0.17394668,3.4982247,0.28160948,2.386623,0.1355684
732,3.7846715,0.06838836,1.7317212,0.20521547,3.4982247,0.28160948,2.386623,0.1355684
733,3.7846715,0.06838836,1.7317212,0.20521547,3.4870253,0.27041802,2.386623,0.1355684
733,3.7846715,0.06838836,2.4604058,0.19915436,3.4870253,0.27041802,2.386623,0.1355684
748,4.635458,0.06872898,2.4604058,0.19915436,3.4870253,0.27041802,2.079678,0.12660554
750,4.635458,0.06872898,2.4604058,0.19915436,3.4870253,0.27041802,1.7721227,0.108502775
768,4.635458,0.06872898,1.8960234,0.2249922,3.4870253,0.27041802,2.0957377,0.10258224
768,4.635458,0.06872898,1.8960234,0.2249922,3.307745,0.2567412,2.0957377,0.10258224
768,6.785616,0.06925724,1.8960234,0.2249922,3.307745,0.2567412,2.1579185,0.10720172
770,6.785616,0.06925724,2.310485,0.13581952,3.307745,0.2567412,2.1579185,0.10720172
771,6.785616,0.07024151,2.310485,0.13581952,3.2308297,0.19863027,2.4852626,0.08829608
771,6.785616,0.07024151,1.9165426,0.20213741,3.022935,0.17698392,2.4852626,0.08829608
772,8.373391,0.106249616,1.9165426,0.20213741,3.022935,0.17698392,2.4852626,0.08829608
785,9.189187,0.11651643,1.9165426,0.20213741,3.022935,0.17698392,2.4852626,0.08829608
785,9.370636,0.13698648,1.9165426,0.20213741,2.824154,0.17913446,2.4852626,0.08829608
786,8.749556,0.15014654,1.9165426,0.20213741,2.824154,0.17913446,2.4852626,0.08829608
801,8.749556,0.15014654,1.3918157,0.16219528,2.5844622,0.16641225,2.4852626,0.08829608
801,8.749556,0.15014654,1.4888074,0.16177171,2.5844622,0.16641225,2.8615007,0.08798835
801,8.749556,0.15014654,1.4888074,0.16177171,2.5844622,0.16641225,3.0333917,0.083925985
804,8.749556,0.15014654,1.2817382,0.19179234,2.5844622,0.16641225,3.5907142,0.1118426
815,7.4497895,0.12409179,1.2817382,0.19179234,2.5844622,0.16641225,3.5907142,0.1118426
816,5.228401,0.15400586,1.2817382,0.19179234,2.3425097,0.17277062,3.5907142,0.1118426
816,3.747081,0.091390386,1.2817382,0.19179234,2.331351,0.17573798,3.5907142,0.1118426
836,3.747081,0.091390386,1.2817382,0.19179234,2.5605686,0.17276862,3.5907142,0.1118426
837,3.747081,0.091390386,0.7143982,0.21274798,2.5605686,0.17276862,3.371329,0.0861585
837,3.747081,0.091390386,0.7143982,0.21274798,2.5605686,0.17276862,3.3569334,0.08547296
851,3.747081,0.091390386,0.7143982,0.21274798,2.7601118,0.17950009,3.3569334,0.08547296
851,2.33614,0.08593672,0.7143982,0.21274798,3.0087297,0.19130719,3.3569334,0.08547296
853,1.9768229,0.057682123,0.7143982,0.21274798,2.998808,0.20883827,3.3569334,0.08547296
865,1.9768229,0.057682123,0.7143982,0.21274798,2.998808,0.20883827,3.511511,0.09404962
865,1.9768229,0.057682123,0.7143982,0.21274798,2.998808,0.20883827,3.7728415,0.15117528
881,1.9768229,0.057682123,0.85012126,0.19050816,2.998808,0.20883827,3.7728415,0.15117528
881,2.22841,0.112993926,0.85012126,0.19050816,2.998808,0.20883827,3.7728415,0.15117528
882,2.22841,0.112993926,1.2038014,0.16973546,2.8848393,0.22901388,3.7728415,0.15117528
884,3.5745971,0.14215636,1.2038014,0.16973546,2.8848393,0.22901388,3.7728415,0.15117528
884,3.5745971,0.14215636,1.2038014,0.16973546,2.9252334,0.25257978,3.7728415,0.15117528
885,4.7332754,0.121447675,1.4300994,0.15315287,2.9252334,0.25257978,3.7728415,0.15117528
886,4.7332754,0.121447675,1.4300994,0.15315287,2.8122573,0.23385544,3.7728415,0.15117528
900,4.7332754,0.121447675,1.4300994,0.15315287,2.8122573,0.23385544,3.6514125,0.1632649
900,4.7332754,0.121447675,1.4300994,0.15315287,2.8122573,0.23385544,3.5072649,0.14922798
902,4.7332754,0.121447675,1.5501007,0.15272212,2.8122573,0.23385544,3.0669787,0.17676422
903,4.7332754,0.121447675,1.6969528,0.18651082,2.8122573,0.23385544,3.0669787,0.17676422
903,4.7332754,0.121447675,1.4686533,0.19752263,2.8122573,0.23385544,3.0669787,0.17676422
904,4.7332754,0.121447675,1.4520723,0.174371,2.8122573,0.23385544,3.0669787,0.17676422
913,4.8938627,0.12762947,1.4520723,0.174371,2.8122573,0.23385544,3.0669787,0.17676422
914,4.747421,0.12750934,1.4520723,0.174371,2.8530264,0.20748217,2.3686044,0.16869801
916,5.051558,0.12669967,1.4520723,0.174371,2.8530264,0.20748217,2.2467237,0.1464952
917,5.051558,0.12669967,1.4520723,0.174371,2.5678325,0.1891742,2.2467237,0.1464952
935,5.051558,0.12669967,1.4520723,0.174371,2.5678325,0.1891742,2.5678325,0.12344646
936,5.6198764,0.1410225,1.3770157,0.144206,2.5091314,0.19958997,2.5678325,0.12344646
936,5.901187,0.1417326,1.3770157,0.144206,2.5091314,0.19958997,2.5678325,0.12344646
938,5.901187,0.1417326,1.1991504,0.15169108,2.5091314,0.19958997,2.5678325,0.12344646
938,5.901187,0.1417326,1.1991504,0.15169108,2.3944144,0.21578282,2.5678325,0.12344646
939,5.7609553,0.13170554,1.2759122,0.16156171,2.3944144,0.21578282,2.5678325,0.12344646
939,5.7609553,0.13170554,1.2759122,0.16156171,2.2267375,0.21951202,2.5678325,0.12344646
947,5.7609553,0.13170554,1.2759122,0.16156171,2.2267375,0.21951202,2.8906446,0.04861427
947,5.7609553,0.13170554,1.2759122,0.16156171,2.2267375,0.21951202,3.033392,0.041966192
963,5.7609553,0.13170554,1.2759122,0.16156171,2.2267375,0.21951202,3.0983984,0.06625083
963,5.6052737,0.1336498,1.3441598,0.1768601,2.2267375,0.21951202,3.0983984,0.06625083
963,5.6052737,0.1336498,1.0429691,0.16395229,2.2267375,0.21951202,3.0983984,0.06625083
965,5.4035935,0.14428362,1.3702357,0.181155,2.2267375,0.21951202,3.0983984,0.06625083
965,4.846437,0.14478396,1.3702357,0.181155,2.2267375,0.21951202,3.0983984,0.06625083
981,4.846437,0.14478396,1.3702357,0.181155,2.4875102,0.22183062,3.0983984,0.06625083
982,4.846437,0.14478396,1.3702357,0.181155,2.585183,0.21044488,3.0983984,0.06625083
983,4.846437,0.14478396,1.3702357,0.181155,2.6358426,0.20891993,2.832715,0.08548415
984,4.846437,0.14478396,1.3702357,0.181155,2.6358426,0.20891993,2.091289,0.15016378
996,4.244906,0.14253795,1.3702357,0.181155,2.6358426,0.20891993,2.091289,0.15016378
997,3.667192,0.1089217,1.363422,0.15696612,2.7028306,0.2103226,2.091289,0.15016378
998,3.667192,0.1089217,1.363422,0.15696612,2.4581335,0.23138578,2.091289,0.15016378
1000,2.8451812,0.077412695,1.3386054,0.18102622,2.4581335,0.23138578,2.091289,0.15016378
1000,2.8451812,0.077412695,1.3386054,0.18102622,2.4604058,0.23069201,2.091289,0.15016378
1000,2.8451812,0.077412695,1.2237511,0.14530915,2.4604058,0.23069201,2.091289,0.15016378
1002,2.8451812,0.077412695,0.9416045,0.13960548,2.4604058,0.23069201,2.091289,0.15016378
1019,2.8451812,0.077412695,0.9416045,0.13960548,2.4604058,0.23069201,1.7413747,0.16244312
1020,2.8451812,0.077412695,0.9416045,0.13960548,2.4604058,0.23069201,1.3455448,0.12778692
1028,2.8451812,0.077412695,0.9416045,0.13960548,2.4604058,0.23069201,1.4130659,0.11175173
1029,3.0474823,0.051382735,0.9416045,0.13960548,2.2648895,0.240537,1.4130659,0.11175173
1029,3.0474823,0.051382735,0.9416045,0.13960548,2.1475356,0.2633891,1.4130659,0.11175173
1030,3.9352293,0.05170473,0.9416045,0.13960548,2.1475356,0.2633891,1.4130659,0.11175173
1031,3.9352293,0.05170473,0.9416045,0.13960548,2.317729,0.27394584,1.4130659,0.11175173
1051,3.9352293,0.05170473,0.82114404,0.19223933,2.317729,0.27394584,1.4130659,0.11175173
1051,3.9352293,0.05170473,0.6133957,0.16469708,2.317729,0.27394584,2.0002403,0.08676006
1052,3.9352293,0.05170473,0.6133957,0.16469708,2.317729,0.27394584,2.3249507,0.082203075
1054,3.9352293,0.05170473,0.6133957,0.16469708,2.317729,0.27394584,2.4994624,0.08448302
1056,4.2378793,0.0719707,0.6133957,0.16469708,2.317729,0.27394584,2.4994624,0.08448302
1057,5.5742836,0.0928742,0.6133957,0.16469708,2.317729,0.27394584,2.4994624,0.08448302
1064,5.5742836,0.0928742,0.6133957,0.16469708,2.2267377,0.259842,2.4994624,0.08448302
